Symbol,Token,Strike,Close Price
NIFTY01AUG24C25000,41060,25000,22.3
NIFTY01AUG24C25050,41062,25050,18.05
NIFTY01AUG24C25100,41072,25100,14.75
NIFTY01AUG24C25150,41077,25150,12.15
NIFTY01AUG24C25200,41084,25200,9.95
NIFTY01AUG24C25250,41100,25250,8.35
NIFTY01AUG24C25300,41102,25300,6.95
NIFTY01AUG24C25350,41106,25350,5.95
NIFTY01AUG24C25400,41109,25400,5.05
NIFTY01AUG24C25450,41111,25450,4.15
NIFTY01AUG24C25500,41116,25500,3.85
NIFTY01AUG24C25550,41118,25550,3.55
NIFTY01AUG24C25600,41125,25600,3.1
NIFTY01AUG24C25650,41128,25650,3.15
NIFTY01AUG24C25700,41131,25700,2.85
NIFTY01AUG24C25750,41138,25750,2.75
NIFTY01AUG24C25800,41140,25800,2.55
NIFTY01AUG24C25850,41149,25850,2.7
NIFTY01AUG24C25900,41152,25900,2.6
NIFTY01AUG24C25950,41155,25950,2.65
NIFTY01AUG24C26000,41160,26000,2.4
NIFTY01AUG24C26050,41162,26050,2.6
NIFTY01AUG24C26100,41167,26100,2.25
NIFTY01AUG24C26150,41171,26150,2.3
NIFTY01AUG24C26200,41175,26200,2.1
NIFTY01AUG24C26250,41183,26250,3.75
NIFTY01AUG24C26300,41185,26300,2.1
NIFTY01AUG24C26350,41191,26350,1.7
NIFTY01AUG24C26400,41198,26400,1.75
NIFTY01AUG24C26450,41214,26450,1.75
NIFTY01AUG24C26500,41225,26500,1.85
NIFTY01AUG24C26550,41227,26550,1.8
NIFTY01AUG24C26600,41229,26600,0.05
NIFTY01AUG24C26650,41233,26650,0.05
NIFTY01AUG24C26700,41238,26700,0.05
NIFTY01AUG24C26750,41241,26750,0.05
NIFTY01AUG24C26800,41262,26800,0.05
NIFTY01AUG24C26850,41271,26850,0.05
NIFTY01AUG24C26900,41277,26900,0.05
NIFTY01AUG24C26950,41279,26950,0.05
NIFTY01AUG24C27000,41291,27000,0.05
NIFTY01AUG24C27050,41293,27050,0.05
NIFTY01AUG24C27100,41295,27100,0.05
NIFTY01AUG24C27150,41299,27150,0.05
NIFTY01AUG24C27200,41309,27200,0.05
NIFTY01AUG24C27250,41319,27250,0.05
BANKNIFTY31JUL24P44800,50319,44800,3.15
BANKNIFTY31JUL24P44900,50326,44900,3.95
BANKNIFTY31JUL24P45000,50329,45000,3.25
